date,price,earnings,trailing_pe,cape
1946.01,18.02,0.94,19.170212765957448,15.623163177761676
1946.02,18.07,0.92,19.641304347826086,15.761666525801909
1946.03,17.53,0.9,19.477777777777778,15.134873415142536
1946.04,18.66,0.88,21.204545454545453,16.040842386215918
1946.05,18.7,0.86,21.744186046511626,16.01372317083218
1946.06,18.58,0.84,22.119047619047617,15.773186880128746
1946.07,18.05,0.856667,21.070030712050308,14.508136111909067
1946.08,17.7,0.873333,20.26718330808523,13.98493930994276
1946.09,15.09,0.89,16.95505617977528,11.841267540149635
1946.1,14.75,0.946667,15.580980429232243,11.387602961765051
1946.11,14.69,1.00333,14.641244655297857,11.110043656743295
1946.12,15.13,1.06,14.273584905660377,11.372779425862708
1947.01,15.21,1.13,13.460176991150444,11.469296334735576
1947.02,15.8,1.2,13.166666666666668,11.949565314209437
1947.03,15.16,1.27,11.937007874015748,11.287903096501285
1947.04,14.6,1.32667,11.004997474880716,10.900825126392677
1947.05,14.34,1.38333,10.366290039253107,10.733674273688536
1947.06,14.84,1.44,10.305555555555555,11.082715855052095
1947.07,15.77,1.47667,10.679434132202863,11.696446553354363
1947.08,15.46,1.51333,10.215881532778706,11.33747235532983
1947.09,15.06,1.55,9.716129032258065,10.827463017228837
1947.1,15.45,1.57,9.84076433121019,11.132662042754786
1947.11,15.27,1.59,9.60377358490566,10.975407324839072
1947.12,15.03,1.61,9.335403726708073,10.68091253196919
1948.01,14.83,1.64333,9.024359075779058,10.419342657320323
1948.02,14.1,1.67667,8.409526024799154,9.999761169144184
1948.03,14.3,1.71,8.362573099415206,10.186680609489674
1948.04,15.4,1.76,8.75,10.77948448202462
1948.05,16.15,1.81,8.922651933701657,11.241032697984439
1948.06,16.82,1.86,9.043010752688172,11.583895756523843
1948.07,16.42,1.93,8.50777202072539,11.134621739180933
1948.08,15.94,2.0,7.97,10.723556662478131
1948.09,15.76,2.07,7.613526570048309,10.55301368939916
1948.1,16.19,2.14333,7.553666490927669,10.825409809169495
1948.11,15.29,2.21667,6.897733988369941,10.248096205635571
1948.12,15.19,2.29,6.633187772925764,10.159652938900916
1949.01,15.36,2.32,6.620689655172414,10.24828575803898
1949.02,14.77,2.35,6.285106382978723,9.872517140570059
1949.03,14.91,2.38,6.264705882352941,9.901332491240924
1949.04,14.89,2.38667,6.238818102209355,9.78363986754406
1949.05,14.78,2.39333,6.175496066150509,9.692295086395816
1949.06,13.97,2.4,5.820833333333334,9.067718943419537
1949.07,14.76,2.39667,6.158544981161362,9.605038093363925
1949.08,15.29,2.39333,6.3885882849419,9.851348638079234
1949.09,15.49,2.39,6.481171548117154,9.884048361738287
1949.1,15.89,2.36667,6.71407505059852,10.169850844772146
1949.11,16.11,2.34333,6.874831969889004,10.21586101165065
1949.12,16.54,2.32,7.129310344827586,10.529330904131147
1950.01,16.88,2.33667,7.223955457980802,10.745733299747911
1950.02,17.21,2.35333,7.313041519888838,10.911564066731684
1950.03,17.35,2.37,7.320675105485233,10.910946522976257
1950.04,17.84,2.42667,7.3516382532441575,11.178021600956098
1950.05,18.44,2.48333,7.425513322836675,11.461543104586232
1950.06,18.74,2.54,7.377952755905511,11.554126144044288
1950.07,17.38,2.6,6.684615384615384,10.539745658930993
1950.08,18.43,2.66,6.928571428571428,11.04061167026154
1950.09,19.08,2.72,7.01470588235294,11.3373911022773
1950.1,19.87,2.76,7.199275362318842,11.662444039105264
1950.11,19.83,2.8,7.082142857142857,11.542173388716298
1950.12,19.75,2.84,6.954225352112676,11.306665788890761
1951.01,21.21,2.83667,7.477076995209172,11.89575983943707
1951.02,22.0,2.83333,7.764715017311785,12.141507370682692
1951.03,21.63,2.83,7.643109540636042,11.841626487283097
1951.04,21.92,2.79333,7.847264734206127,11.951097197083959
1951.05,21.93,2.75667,7.955250356408275,11.863875406269177
1951.06,21.55,2.72,7.922794117647059,11.61566485702518
1951.07,21.93,2.65,8.275471698113208,11.778190092457809
1951.08,22.89,2.58,8.872093023255815,12.256989084145143
1951.09,23.48,2.51,9.354581673306773,12.44495315715004
1951.1,23.36,2.48667,9.394089284062622,12.309457904118688
1951.11,22.71,2.46333,9.219227630889893,11.852030617771039
1951.12,23.41,2.44,9.594262295081968,12.147072568106777
1952.01,24.19,2.42667,9.968392900559202,12.527059748172297
1952.02,23.75,2.41333,9.841173813775985,12.36411935046109
1952.03,23.81,2.4,9.920833333333333,12.362339087390364
1952.04,23.74,2.38,9.974789915966387,12.24272868326688
1952.05,23.73,2.36,10.055084745762713,12.200478761945837
1952.06,24.38,2.34,10.418803418803419,12.447881581789366
1952.07,25.08,2.34667,10.687484818913608,12.669112889622479
1952.08,25.18,2.35333,10.699731869308597,12.678378236328621
1952.09,24.78,2.36,10.500000000000002,12.434678020425505
1952.1,24.26,2.37333,10.221924468995041,12.13118355868687
1952.11,25.03,2.38667,10.487415520369385,12.47346976551531
1952.12,26.04,2.4,10.85,12.933964306161373
1953.01,26.18,2.41,10.863070539419086,13.010773447995183
1953.02,25.86,2.42,10.685950413223141,12.859346880687902
1953.03,25.99,2.43,10.695473251028805,12.83481934009249
1953.04,24.71,2.45667,10.058330992766631,12.1639014540068
1953.05,24.84,2.48333,10.002697990198644,12.141970791867779
1953.06,23.95,2.51,9.54183266932271,11.62440788547008
1953.07,24.29,2.52333,9.626168594674496,11.750201645309998
1953.08,24.39,2.53667,9.614967654444607,11.715076201734
1953.09,23.27,2.55,9.125490196078433,11.139349357262919
1953.1,23.97,2.53667,9.449396255721084,11.391934765421409
1953.11,24.5,2.52333,9.709391954282633,11.644070268505766
1953.12,24.83,2.51,9.892430278884463,11.75444918402729
1954.01,25.46,2.52333,10.089841598205545,12.002650554927824
1954.02,26.02,2.53667,10.25754236853828,12.215052485432834
1954.03,26.57,2.55,10.419607843137255,12.420105295189968
1954.04,27.63,2.57333,10.73706054023386,12.907868184060913
1954.05,28.73,2.59667,11.064170649331643,13.312042238025853
1954.06,28.96,2.62,11.053435114503817,13.357885903658993
1954.07,30.13,2.62333,11.48540214155291,13.833009564245325
1954.08,30.73,2.62667,11.69922373194958,14.042112347320572
1954.09,31.45,2.63,11.958174904942966,14.356474143296973
1954.1,32.18,2.67667,12.02240096836741,14.619231935730559
1954.11,33.44,2.72333,12.279084796921417,15.117311697434385
1954.12,34.97,2.77,12.624548736462094,15.78906200232708
1955.01,35.6,2.83333,12.564720664377251,15.990781062969829
1955.02,36.79,2.89667,12.700790908180773,16.437728215987107
1955.03,36.5,2.96,12.33108108108108,16.21928294553779
1955.04,37.76,3.04667,12.393859525317804,16.685266628063495
1955.05,37.6,3.13333,12.000012765971029,16.518057827257792
1955.06,39.78,3.22,12.354037267080745,17.3700919634053
1955.07,42.69,3.29333,12.96256372729122,18.454031906632867
1955.08,42.43,3.36667,12.602957818853644,18.222326463047743
1955.09,44.34,3.44,12.889534883720932,18.843960654261306
