Jahr;Damodaran_Branche;Trailing_KGV;Forward_KGV
2018;Power;25.95393823717138;20.952469700064288
2018;Precious Metals;36.15804799805895;22.37989301819813
2018;Publishing & Newspapers;69.16630603806718;18.538551011392965
2018;R.E.I.T.;42.50302517946843;112.57813950923592
2018;Real Estate (Development);38.10662124652847;62.34058345874091
2018;Real Estate (General/Diversified);28.47432235643894;15.06420763380859
2018;Real Estate (Operations & Services);75.20258165024374;41.22079553607501
2018;Recreation;21.935351348497772;23.181398037374823
2018;Reinsurance;486.8553189844801;17.818074039826953
2018;Restaurant/Dining;49.46330681660687;32.53527847969343
2018;Retail (Automotive);16.091630003180136;14.911921826063736
2018;Retail (Building Supply);34.84544308443061;34.35326381789067
2018;Retail (Distributors);111.5648952929388;117.8748416130408
2018;Retail (General);21.018223637806333;19.624396818628647
2018;Retail (Grocery and Food);40.72122511360967;19.123649352640644
2018;Retail (Online);64.87038137611289;46.58104766554822
2018;Retail (Special Lines);34.983124254600575;18.11643014838217
2018;Rubber& Tires;77.7317552257036;10.182993730407524
2018;Semiconductor;43.79569528368781;67.95751194874828
2018;Semiconductor Equip;23.711714407370092;17.5443146352778
2018;Shipbuilding & Marine;24.78512990546439;23.45598586449613
2018;Shoe;35.876891093593805;27.20167047362555
2018;Software (Entertainment);42.65274072776023;27.607217086958737
2018;Software (Internet);76.0255286412391;56.33690357754873
2018;Software (System & Application);362.1355544821303;60.75953689755571
2018;Steel;32.304755096559276;27.752449756430245
2018;Telecom (Wireless);118.32784446126438;89.12125002865855
2018;Telecom. Equipment;56.52526796244314;26.254728369602372
2018;Telecom. Services;45.54850875191452;93.82288560861384
2018;Tobacco;26.30501621932611;22.977861938543292
2018;Transportation;31.811538866261515;22.63050713549486
2018;Transportation (Railroads);26.097114934186607;21.330293746138334
2018;Trucking;41.4550960124238;35.18204556688354
2018;Utility (General);23.99863472225833;20.194172981559532
2018;Utility (Water);137.5822128048874;34.477254656148865
2018;Total Market;65.33094542901037;41.74524712372071
2018;Total Market (without financials);69.19759426668838;46.497263292277765
2019;Advertising;10.81;32.38
2019;Aerospace/Defense;33.83;21.31
2019;Air Transport;7.99;9.02
2019;Apparel;55.05;14.04
2019;Auto & Truck;17.75;13.63
2019;Auto Parts;18.92;11.88
2019;Bank (Money Center);12.69;9.16
2019;Banks (Regional);25.3;11.64
2019;Beverage (Alcoholic);20.16;28.73
2019;Beverage (Soft);35.13;24.71
2019;Broadcasting;17.66;16.65
2019;Brokerage & Investment Banking;28.79;12.75
2019;Building Materials;21.87;15.27
2019;Business & Consumer Services;20.6;22.13
2019;Cable TV;10.69;23.55
2019;Chemical (Basic);13.47;9.2
2019;Chemical (Diversified);18.59;7.87
2019;Chemical (Specialty);24.65;14.63
2019;Coal & Related Energy;10.44;9.04
2019;Computer Services;19.29;15.48
2019;Computers/Peripherals;50.94;17.69
2019;Construction Supplies;14.37;11.33
2019;Diversified;18.64;19.4
2019;Drugs (Biotechnology);68.57;43.88
2019;Drugs (Pharmaceutical);106.46;27.44
2019;Education;48.47;28.79
2019;Electrical Equipment;20.89;18.83
2019;Electronics (Consumer & Office);56.33;47.41
2019;Electronics (General);46.32;22.33
2019;Engineering/Construction;19.49;16.54
2019;Entertainment;64.02;87.08
2019;Environmental & Waste Services;30.92;47.83
2019;Farming/Agriculture;41.1;15.88
2019;Financial Svcs. (Non-bank & Insurance);50.79;14.11
2019;Food Processing;21.98;27.2
2019;Food Wholesalers;18.84;16.73
